,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
116,Hofstra,32,7,25,0.219,-10.76,-1.92,,4,14,,6,9,,1,14,,1873,2132,,64.9,89.4,0.386,0.283,0.46,46.9,47.4,9.7,9.4,0.424,18.5,34.2,0.242
117,Holy Cross,30,12,18,0.4,-6.14,-2.97,,4,10,,7,5,,4,12,,1834,1929,,62.3,97.7,0.3,0.367,0.516,47.4,56.8,6.2,10,0.477,17.3,28.2,0.226
118,Houston Baptist,31,14,17,0.452,-15.17,-8.03,,3,5,,7,5,,3,12,,1982,2080,,69.6,90.4,0.365,0.256,0.491,47.7,49,9.8,6.8,0.455,20.9,33.3,0.242
119,Houston,33,20,13,0.606,-0.3,-3.77,,7,9,,14,4,,5,8,,2578,2420,,70.1,108.5,0.398,0.28,0.552,50.1,54.8,9.3,9.4,0.515,15.6,34.1,0.282
120,Howard,31,7,24,0.226,-14.42,-5.35,,4,12,,5,7,,2,13,,1615,1868,,62.1,83.9,0.356,0.26,0.441,47.2,48.1,10.2,10,0.397,20.1,35.1,0.236
121,Idaho State,30,6,24,0.2,-12.98,-4.85,,5,15,,5,7,,1,14,,1710,1928,,60.4,93.5,0.38,0.357,0.502,42.5,52.3,11.4,10.7,0.463,17.5,25.1,0.258
122,Idaho,30,12,18,0.4,-2.19,0.33,,7,11,,6,8,,6,8,,2050,2079,,63.3,107,0.376,0.341,0.568,51.5,55.1,6.4,7.7,0.529,18.3,33.1,0.279
123,Illinois-Chicago,34,18,16,0.529,-1.78,-0.69,,7,9,,12,4,,4,10,,2136,2134,,63.8,97.4,0.351,0.365,0.509,45.9,57.8,10.1,7.7,0.462,16.8,28.4,0.264
124,Illinois State,33,18,15,0.545,9.63,3.72,,8,10,,11,5,,5,8,,2460,2265,,69.3,106.8,0.344,0.364,0.552,47.4,56.3,10.4,11.9,0.518,16.2,29.5,0.249
125,Illinois NCAA,36,23,13,0.639,13.23,10.08,,8,10,,12,4,,6,6,,2465,2332,,65.5,104.2,0.31,0.419,0.516,46.6,42.5,10.4,11.5,0.479,14.7,33.1,0.225
126,Indiana State,33,18,15,0.545,5.08,5.64,,9,9,,11,3,,4,10,,2159,2164,,65.3,98.7,0.42,0.339,0.527,47,53.2,8.5,8.6,0.483,17.2,26.9,0.297
127,Indiana NCAA,36,29,7,0.806,24.9,8.38,,14,4,,17,2,,7,2,,2831,2236,,67.1,116.3,0.459,0.323,0.59,53.3,54,10.5,9.3,0.548,16.3,39,0.341
128,Iona NCAA,34,20,14,0.588,4.04,-0.02,,11,7,,11,1,,5,9,,2733,2595,,70.5,111.1,0.327,0.366,0.562,47.1,54.7,9,7.4,0.521,14.7,32.8,0.255
129,Iowa State NCAA,35,23,12,0.657,14.5,6.13,,11,7,,16,1,,4,7,,2779,2486,,70,111.7,0.33,0.438,0.569,51.2,58.2,9,7,0.538,15.9,34.2,0.241
130,Iowa,38,25,13,0.658,14.22,6.93,,9,9,,18,2,,3,8,,2665,2388,,66.6,104.2,0.416,0.31,0.516,51.1,63.5,10.3,12.6,0.466,15.6,36.4,0.304
131,Purdue-Fort Wayne,33,16,17,0.485,-7,-5.32,,7,9,,10,4,,4,10,,2213,2178,,65.7,100.6,0.385,0.35,0.528,50.2,53.2,11.4,7.5,0.501,17.7,31.3,0.247
132,IUPUI,32,6,26,0.188,-15.93,-2.79,,1,15,,3,8,,1,13,,2096,2451,,66.2,97.4,0.246,0.348,0.526,42.2,53.2,8.2,5.9,0.505,16.9,23.4,0.165
133,Jackson State,29,11,18,0.379,-14.8,-9.52,,9,9,,6,3,,4,14,,1920,2073,,69.4,94.2,0.384,0.35,0.489,43.2,42.5,11.8,5.8,0.445,15.9,27.5,0.268
134,Jacksonville State,28,17,11,0.607,-4.48,-4.29,,8,8,,9,3,,6,8,,1857,1817,,63.8,103,0.436,0.314,0.537,43.4,57,13.1,11.1,0.5,17.4,32.4,0.296
135,Jacksonville,32,14,18,0.438,-10.47,-4.74,,9,9,,10,3,,3,13,,2181,2300,,69.3,96.7,0.363,0.28,0.508,48.4,53.5,9.5,8.5,0.468,18.5,33.1,0.255
136,James Madison NCAA,36,21,15,0.583,-1.73,-2.28,,11,7,,10,4,,4,9,,2346,2326,,64.1,100.9,0.368,0.324,0.514,46.2,51.7,11.7,13.5,0.476,15,29.6,0.257
137,Kansas State NCAA,35,27,8,0.771,13.53,6.53,,14,4,,15,1,,7,3,,2414,2115,,63.6,108.4,0.315,0.329,0.524,50.6,63.9,11.1,10.3,0.495,14.9,38.7,0.216
138,Kansas NCAA,37,31,6,0.838,20.79,7.54,,14,4,,16,1,,7,3,,2782,2292,,67.8,109.1,0.395,0.29,0.572,52.6,58.4,10.2,17.6,0.533,17.5,33.8,0.291
139,Kennesaw State,30,3,27,0.1,-15.4,-4.76,,2,16,,2,10,,1,15,,1831,2150,,64.5,92.8,0.374,0.312,0.483,43.6,48.4,10.7,4.9,0.447,17.9,30.6,0.243
140,Kent State,35,21,14,0.6,2.38,-0.83,,9,7,,12,6,,8,7,,2484,2373,,65.8,106,0.438,0.348,0.535,48.2,48.8,10,7.4,0.491,16.1,34.9,0.311
141,Kentucky,33,21,12,0.636,13.94,5.78,,12,6,,16,2,,4,8,,2396,2127,,66.8,107.9,0.417,0.293,0.551,51.2,51.1,8.3,15.6,0.526,16.5,34.7,0.268
142,La Salle NCAA,34,24,10,0.706,10.14,4.46,,11,5,,13,2,,8,6,,2450,2257,,66.5,107.6,0.313,0.36,0.552,44.6,55.2,11.6,8.3,0.519,15,29,0.231
143,Lafayette,34,19,15,0.559,-3,-2.36,,10,4,,14,3,,5,12,,2349,2346,,65.8,104.6,0.28,0.39,0.563,43.8,57.7,10.3,8.5,0.532,16.9,25.4,0.211
144,Lamar,31,3,28,0.097,-20.55,-3.26,,1,17,,1,10,,1,17,,1862,2398,,70.7,84.2,0.315,0.108,0.465,46.7,49.7,6,8.9,0.424,22,32.4,0.221
145,Lehigh,31,21,10,0.677,3.95,-3.01,,10,4,,11,3,,9,7,,2266,2022,,66.6,109.7,0.362,0.352,0.567,45,57.5,10.6,9.3,0.531,14.5,27.2,0.267
146,Liberty NCAA,36,15,21,0.417,-9.13,-5.8,,6,10,,8,7,,4,11,,2489,2519,,66.6,102.7,0.394,0.342,0.536,47.2,52.9,8.1,7.6,0.493,17.1,29.7,0.288
147,Lipscomb,30,12,18,0.4,-11.7,-3.45,,7,11,,8,6,,4,11,,2079,2300,,70.9,96.5,0.446,0.294,0.508,49.9,48.1,9.7,5.1,0.471,19.8,36.1,0.288
148,Cal State Long Beach,33,19,14,0.576,-1.18,1.92,,14,4,,11,3,,7,10,,2291,2360,,68.2,101.5,0.368,0.357,0.531,47.1,49.1,9.5,9.2,0.502,18.4,32.7,0.243
149,Long Island University NCAA,34,20,14,0.588,-3.21,-5.8,,12,6,,12,2,,7,9,,2677,2589,,70,111.6,0.456,0.339,0.576,48.6,56.3,9.7,8.3,0.544,17.3,35.2,0.315
150,Longwood,33,8,25,0.242,-19.36,-5.1,,4,12,,4,9,,2,14,,2270,2687,,72.4,94.7,0.312,0.276,0.521,45.5,54.6,9.4,6.7,0.487,20.1,29.8,0.222
151,Louisiana,33,13,20,0.394,-4.92,-2.23,,8,12,,10,5,,2,14,,2337,2413,,71,98.6,0.352,0.343,0.517,44.3,44.4,9.9,9.2,0.486,17.1,29.1,0.236
152,Louisiana-Monroe,27,4,23,0.148,-13.97,-1.45,,3,17,,3,9,,1,13,,1621,1959,,66.9,88.9,0.315,0.328,0.5,43.2,61,10.6,3.9,0.484,21.3,27.3,0.182
153,Louisiana State,31,19,12,0.613,5.82,4.01,,9,9,,14,3,,4,8,,2194,2138,,69,100.9,0.334,0.358,0.515,47.5,56.1,13,9.7,0.492,17.3,34.4,0.209
154,Louisiana Tech,34,27,7,0.794,5.48,-2.06,,16,2,,14,0,,11,6,,2470,2151,,70.6,103,0.345,0.376,0.507,47.3,53,12.9,12.3,0.47,14.7,34.5,0.24
155,Louisville NCAA,40,35,5,0.875,24.81,9.13,,14,4,,15,1,,8,3,,2978,2351,,66.4,110.3,0.4,0.3,0.544,51.1,55.7,15.9,12.1,0.506,15.3,38.2,0.283
156,Loyola (IL),31,15,16,0.484,-1.03,-2.3,,5,11,,8,6,,6,9,,1995,1934,,63.1,101.6,0.347,0.318,0.54,49,60.7,8,7.4,0.504,18.1,30.6,0.249
157,Loyola Marymount,34,11,23,0.324,-3.04,2.86,,1,15,,5,9,,2,12,,2202,2338,,66,97,0.346,0.313,0.494,47.9,47.7,10.8,7.1,0.453,16.8,33.4,0.243
158,Loyola (MD),35,23,12,0.657,1.33,-2.1,,12,6,,13,3,,7,8,,2341,2221,,63.9,103.2,0.41,0.256,0.511,47.9,51.1,11,11.9,0.469,15.4,37,0.282
159,Maine,30,11,19,0.367,-9.57,-4.12,,6,10,,8,4,,3,15,,1988,2091,,69.1,95.9,0.331,0.314,0.509,48,52.4,10.1,10.3,0.48,18.7,30.6,0.217
160,Manhattan,32,14,18,0.438,-1.97,-0.38,,9,9,,7,4,,5,11,,1865,1916,,62.5,92.5,0.458,0.357,0.509,47,55.5,10.5,13,0.468,22,31.8,0.303
161,Marist,31,10,21,0.323,-6.34,-1.63,,6,12,,6,7,,3,11,,2045,2191,,67.8,96.1,0.396,0.341,0.515,44.9,55.8,9.1,10.2,0.484,18.3,27,0.256
162,Marquette NCAA,35,26,9,0.743,14.04,8.58,,14,4,,16,0,,5,6,,2382,2191,,63.4,105.9,0.409,0.27,0.541,50.8,57.4,10.3,10,0.496,17.6,38.3,0.299
163,Marshall,32,13,19,0.406,-3.62,0.93,,6,10,,11,4,,1,11,,2208,2327,,68.8,99.5,0.443,0.36,0.508,48.5,58.4,9.3,11,0.482,18.9,38,0.265
164,Maryland-Baltimore County,31,8,23,0.258,-12.5,-3.7,,5,11,,6,8,,1,14,,1970,2216,,67.6,92.5,0.295,0.347,0.49,45.1,51.3,10.5,6.4,0.466,18.5,29.1,0.186
165,Maryland-Eastern Shore,28,2,26,0.071,-19.61,-5.11,,2,14,,2,6,,0,15,,1535,1941,,64.6,84.2,0.353,0.3,0.436,45.6,48.5,10.3,7.3,0.398,19.6,34.9,0.223
166,Maryland,38,25,13,0.658,11.37,4.66,,8,10,,18,3,,4,7,,2688,2433,,67.3,104.8,0.345,0.304,0.544,54,55.9,7.6,11.2,0.516,18.7,36.9,0.234
167,Massachusetts,33,21,12,0.636,5.82,4.55,,9,7,,10,5,,8,4,,2408,2366,,70.9,102.6,0.358,0.362,0.533,47.9,57.5,10.6,12.9,0.495,17.4,32.4,0.257
168,McNeese State,31,14,17,0.452,-11.49,-4.63,,7,11,,9,5,,4,11,,2055,2172,,66,98,0.297,0.263,0.487,45.3,49.3,11.5,11.8,0.461,15,32.2,0.191
169,Memphis NCAA,36,31,5,0.861,12.26,2.7,,16,0,,17,1,,9,1,,2681,2337,,69.5,106.3,0.372,0.286,0.55,50.8,62,12.7,16.3,0.524,17.7,35.6,0.246
170,Mercer,36,24,12,0.667,0.69,-4.08,,14,4,,13,0,,9,8,,2371,2135,,62.9,104.1,0.352,0.402,0.547,47.3,63.9,10.5,12.8,0.506,17.3,30.6,0.265
171,Miami (FL) NCAA,36,29,7,0.806,16.99,7.88,,15,3,,14,1,,10,3,,2509,2181,,64,108.5,0.346,0.356,0.548,50.1,45.6,9.6,12.3,0.519,14.1,30.6,0.236
172,Miami (OH),31,9,22,0.29,-6.62,-0.26,,3,13,,5,8,,4,13,,1954,2128,,65.3,96.1,0.37,0.336,0.52,43.7,55.2,12.7,7.5,0.486,19,27.6,0.252
173,Michigan State NCAA,36,27,9,0.75,18.64,10.55,,13,5,,17,1,,6,5,,2448,2129,,64.7,105.1,0.37,0.272,0.542,53.3,53.7,12.4,10.9,0.505,17.8,36.4,0.264
174,Michigan NCAA,39,31,8,0.795,21.28,10.05,,12,6,,17,1,,5,5,,2932,2467,,64.1,116.1,0.284,0.34,0.572,49.9,51.7,9.5,7.3,0.549,12.5,32.7,0.199
175,Middle Tennessee NCAA,34,28,6,0.824,11.16,-1.52,,19,1,,15,0,,11,3,,2405,1974,,65.6,107.1,0.414,0.262,0.548,52.3,56.7,10.6,11,0.511,17.4,36.5,0.288
176,Milwaukee,32,8,24,0.25,-10.33,-0.26,,3,13,,7,7,,1,15,,2007,2264,,66,93.5,0.363,0.407,0.492,43.4,51.9,8,8.8,0.452,18.2,29,0.248
177,Minnesota NCAA,34,21,13,0.618,16.83,10.31,,8,10,,15,2,,3,8,,2337,2115,,63.5,107.8,0.416,0.297,0.531,53.1,61.7,11.7,15.8,0.493,17.5,43.6,0.285
178,Mississippi State,32,10,22,0.313,-4.54,4.34,,4,14,,7,7,,1,11,,1940,2224,,68.2,88.1,0.408,0.318,0.486,44.6,47.9,11.7,10.3,0.446,21.4,30.5,0.269
179,Mississippi Valley State,28,5,23,0.179,-19.13,-8.28,,5,13,,4,5,,1,16,,1765,2069,,70.7,88.7,0.395,0.347,0.463,43.3,45.7,10,6.2,0.422,18.3,31.7,0.256
180,Mississippi NCAA,36,27,9,0.75,14.42,4.14,,12,6,,16,1,,6,6,,2779,2409,,70.5,108.4,0.388,0.33,0.526,48.1,46.1,11.6,13.7,0.491,13,33.6,0.263
181,Missouri-Kansas City,32,8,24,0.25,-13.61,-2.74,,5,11,,3,11,,4,11,,1950,2252,,65.2,93.5,0.307,0.351,0.51,46.8,44.8,9.1,8.5,0.481,20.1,29.8,0.207
182,Missouri State,33,11,22,0.333,-2.8,4.65,,7,11,,8,7,,2,12,,1966,2136,,61.5,96.2,0.339,0.35,0.492,44.6,47.9,7.6,4.3,0.458,14.4,26.5,0.227
183,Missouri NCAA,34,23,11,0.676,15.41,6,,11,7,,17,0,,2,8,,2588,2268,,68.2,110.7,0.35,0.315,0.551,53.7,51.1,9.8,9.1,0.512,15.8,38.7,0.261
184,Monmouth,31,10,21,0.323,-12.02,-4.19,,5,13,,5,8,,3,13,,2009,2252,,70.8,91.5,0.323,0.303,0.484,42.1,52.7,12.4,4.5,0.444,18.1,29.8,0.228
185,Montana State,30,13,17,0.433,-10.9,-6.69,,10,10,,10,6,,3,10,,2118,2181,,67,103.6,0.365,0.349,0.526,46.1,46.2,11.6,5,0.486,14.9,29.9,0.262
186,Montana NCAA,32,25,7,0.781,-1.11,-4.21,,19,1,,15,1,,10,4,,2238,2096,,63.8,107.5,0.398,0.36,0.576,46.4,53.3,9,8.3,0.532,16.7,25.9,0.305
187,Morehead State,33,15,18,0.455,-5.36,-1.81,,8,8,,10,5,,3,12,,2396,2408,,70.9,100.9,0.382,0.324,0.524,51.9,58.1,12.4,8.9,0.487,20,40,0.264
188,Morgan State,32,17,15,0.531,-5.39,-7.51,,10,6,,5,4,,8,9,,2162,2094,,67.3,98.8,0.392,0.252,0.504,48.4,50.9,9.4,13.6,0.483,18.5,38,0.231
189,Mount St. Mary's,32,18,14,0.563,-5.85,-4.1,,11,7,,10,2,,8,12,,2233,2289,,67.6,102.8,0.319,0.447,0.535,43.5,50,12.4,5.3,0.505,16,28.6,0.222
190,Murray State,31,21,10,0.677,1.21,-2.89,,10,6,,10,4,,8,4,,2257,2071,,67,106.9,0.39,0.409,0.555,49.3,51.2,9.9,8.6,0.523,17.6,33.7,0.269
191,Navy,31,8,23,0.258,-11.31,-4.44,,2,12,,5,9,,2,13,,1709,1888,,60.6,90.6,0.279,0.329,0.47,42.4,58,9.7,7.4,0.445,16.2,26.3,0.175
192,Omaha,31,11,20,0.355,-15.18,-3.9,,6,10,,7,6,,3,13,,2215,2548,,71.6,99.8,0.3,0.296,0.543,42.5,49.5,9.2,6.7,0.515,18.2,25.2,0.209
193,Nebraska,33,15,18,0.455,4.4,9.59,,5,13,,11,7,,2,9,,1923,2094,,61.8,94.3,0.284,0.308,0.487,44.3,45.9,8.2,8.8,0.454,15.1,26.1,0.196
194,Nevada-Las Vegas NCAA,35,25,10,0.714,12.92,5.71,,10,6,,17,2,,6,6,,2498,2206,,68.9,103.2,0.373,0.344,0.53,52,64.4,10.5,14.6,0.492,17.1,33.8,0.262
195,Nevada,31,12,19,0.387,0.45,5.35,,3,13,,10,7,,2,11,,2092,2229,,66.9,100,0.413,0.356,0.523,45.5,49.9,8.2,8.8,0.475,16.5,29.2,0.301
196,New Hampshire,29,9,20,0.31,-8.26,-4.19,,5,11,,6,6,,3,13,,1745,1819,,64.5,92.5,0.348,0.371,0.478,46,49.9,9,7.6,0.446,16.1,27.9,0.222
197,New Mexico State NCAA,35,24,11,0.686,5.11,0.7,,14,4,,15,1,,6,8,,2355,2175,,65.2,102.5,0.462,0.24,0.528,53.1,48.2,8.6,14.1,0.493,18.5,37.3,0.303
198,New Mexico NCAA,35,29,6,0.829,13.28,6.63,,13,3,,15,1,,8,4,,2355,2122,,64.7,103.3,0.457,0.347,0.533,49.4,65.8,9.6,11.3,0.484,15.4,29.3,0.329
199,New Orleans,26,8,18,0.308,-21.26,-6.12,,0,0,,8,4,,0,13,,1791,1958,,72.6,92.6,0.368,0.209,0.504,45.3,53.9,11.6,7.1,0.47,20.6,30.9,0.243
200,Niagara,33,19,14,0.576,0.58,-1.15,,13,5,,11,4,,7,8,,2436,2379,,68.9,105.5,0.38,0.372,0.52,45.6,50.7,11.4,7.7,0.483,13.9,32.5,0.263
201,Nicholls State,30,9,21,0.3,-10.54,-4.97,,8,10,,5,5,,4,13,,2020,2187,,67.3,98.8,0.4,0.32,0.522,43.5,52.9,9.3,5.4,0.487,17.6,30.1,0.267
202,NJIT,29,16,13,0.552,-8.33,-9.01,,6,2,,12,3,,4,9,,2042,1869,,68.5,100.2,0.407,0.297,0.513,49.5,53.3,12.4,13.5,0.476,17.6,35.6,0.273
203,Norfolk State,33,21,12,0.636,-5.77,-6.56,,16,0,,11,0,,10,9,,2188,2162,,68.7,96.2,0.4,0.286,0.497,46.7,51,10.6,11.7,0.462,17.9,33.7,0.258
204,North Carolina-Asheville,32,16,16,0.5,-3.67,-3.98,,10,6,,10,4,,6,8,,2296,2213,,69.6,102.7,0.377,0.256,0.532,49.1,55.5,11.7,13.2,0.492,17.7,34.5,0.269
205,North Carolina A&T NCAA,37,20,17,0.541,-6.94,-6.3,,8,8,,9,3,,5,12,,2299,2291,,67.1,92.3,0.42,0.367,0.497,46.4,52.2,10.5,13.6,0.458,19.6,30,0.276
206,North Carolina Central,31,22,9,0.71,-2.23,-7.05,,15,1,,12,2,,9,5,,2079,1758,,64.9,103.3,0.443,0.314,0.559,49.4,61.8,11.7,9,0.514,19.3,31.3,0.325
207,North Carolina-Greensboro,31,9,22,0.29,-9.42,-5.31,,6,12,,6,9,,2,12,,2222,2286,,71.7,100,0.33,0.353,0.509,47.5,47.5,10.2,4.4,0.478,15.3,29.2,0.222
208,North Carolina State NCAA,35,24,11,0.686,14.32,7.17,,11,7,,16,1,,3,7,,2708,2458,,68.6,112.4,0.409,0.237,0.571,50.2,51.9,9.4,10.1,0.542,15.4,34.7,0.279
209,North Carolina-Wilmington,30,10,20,0.333,-10.09,-2.27,,5,13,,9,5,,1,15,,1899,2111,,66.6,95.1,0.364,0.292,0.497,47.4,49.8,9.2,10.8,0.467,18.3,31.7,0.234
210,North Carolina NCAA,36,25,11,0.694,14.52,8.01,,12,6,,14,2,,7,6,,2762,2492,,71.6,106.8,0.282,0.312,0.525,48.6,60.2,11.7,8.1,0.499,14.1,34.4,0.19
211,North Dakota State,34,24,10,0.706,5.21,-4.01,,12,4,,12,1,,7,8,,2282,1908,,61,109.2,0.288,0.366,0.561,52.2,50.8,9.4,12.7,0.534,15.6,30.7,0.208
212,North Dakota,33,16,17,0.485,-8.53,-5.34,,12,8,,9,5,,6,11,,2222,2243,,67.2,99.8,0.355,0.329,0.519,46.1,49.6,11.6,9.6,0.48,16.4,30,0.253
213,North Florida,32,13,19,0.406,-7.35,-3.22,,8,10,,7,4,,4,14,,2121,2235,,66.7,99.4,0.297,0.416,0.532,44.7,57.8,9.1,8.5,0.509,19.1,30.7,0.196
214,North Texas,32,12,20,0.375,-6.39,-2.73,,7,13,,8,7,,2,11,,2117,2201,,67.7,96.6,0.413,0.221,0.494,47.9,43.9,9,11.9,0.444,17.2,33.9,0.292
215,Northeastern,33,20,13,0.606,-1.35,-1.93,,14,4,,7,8,,10,3,,2273,2254,,63.8,105.5,0.388,0.359,0.554,44.9,59,12,6.9,0.51,17.2,31.4,0.292
216,Northern Arizona,32,11,21,0.344,-12.02,-3.55,,8,12,,6,6,,4,13,,2140,2411,,68.6,95.6,0.314,0.307,0.516,44.6,55.1,10.2,6.5,0.487,18.1,27,0.212
217,Northern Colorado,31,13,18,0.419,-7.64,-5.19,,10,10,,8,5,,4,13,,2184,2181,,66.4,105.8,0.329,0.326,0.55,49.5,50.9,10,6.6,0.525,17,32.3,0.222
218,Northern Illinois,30,5,25,0.167,-12,-2.2,,3,13,,3,11,,2,14,,1619,1885,,62.6,85.9,0.353,0.315,0.443,47.3,45.3,11.3,6.5,0.402,19.2,33.7,0.231
219,Northern Iowa,36,21,15,0.583,8.6,5.23,,11,7,,16,4,,5,6,,2400,2229,,63.4,104,0.328,0.408,0.556,47.8,53.4,9.7,7,0.518,16.7,25.2,0.248
220,Northern Kentucky,27,11,16,0.407,-7.82,-5.42,,9,9,,5,4,,6,9,,1582,1647,,60.4,97,0.284,0.453,0.511,43.9,61.5,10.1,6.1,0.481,16.6,25.3,0.2
221,Northwestern State NCAA,32,23,9,0.719,0.41,-3.77,,15,3,,13,1,,8,7,,2559,2285,,74.4,107.5,0.386,0.3,0.539,47.6,53.2,12.9,10.6,0.505,15.9,35.3,0.265
222,Northwestern,32,13,19,0.406,5.36,8.3,,4,14,,8,11,,3,7,,1943,2037,,61.5,98.4,0.339,0.431,0.508,41.4,70.7,9.1,8.8,0.475,15.2,25.9,0.23
223,Notre Dame NCAA,35,25,10,0.714,13.74,7.22,,11,7,,17,2,,4,5,,2450,2222,,62,109.8,0.32,0.32,0.551,50.6,65.8,7.8,9.3,0.522,15,34,0.227
224,Oakland,33,16,17,0.485,-4.39,-1.61,,10,6,,10,2,,5,14,,2444,2485,,68.9,106.7,0.419,0.357,0.54,46.5,52.6,11.9,3.6,0.5,15,31.3,0.296
225,Ohio State NCAA,37,29,8,0.784,20.19,9.32,,13,5,,16,2,,5,5,,2599,2197,,64.3,108.9,0.354,0.31,0.541,50.5,53.1,10.4,12.9,0.506,13.6,31.1,0.251
226,Ohio,34,24,10,0.706,6.94,-1.06,,14,2,,16,2,,7,7,,2464,2192,,67.7,106.3,0.313,0.4,0.562,44,66.8,13.1,9.8,0.536,16.4,27.4,0.219
227,Oklahoma State NCAA,33,24,9,0.727,15.57,6.73,,13,5,,15,2,,5,5,,2371,2079,,67.3,104.8,0.405,0.313,0.536,49.1,48.9,11,12.8,0.488,15.7,31.3,0.302
228,Oklahoma NCAA,32,20,12,0.625,11.4,7.09,,12,7,,12,2,,5,7,,2260,2122,,66.8,104.9,0.354,0.267,0.524,48.7,49.1,9.6,7.4,0.478,14.8,33.2,0.268
229,Old Dominion,30,5,25,0.167,-7.59,-1.55,,3,15,,2,15,,2,10,,1947,2128,,65.9,98,0.346,0.293,0.484,49.8,53.2,10.8,13.5,0.449,17,38.8,0.229
230,Oral Roberts,35,20,15,0.571,-0.23,-3,,13,5,,10,4,,9,8,,2484,2341,,66.5,105.9,0.378,0.242,0.545,50.6,49.7,9.3,9.2,0.504,17.5,36.4,0.279
